レストランの名前,点数,スタイル,グリーティング,価格,雨天時,場所
ビレッジ・ペイストリー,4.64,食べ歩き,なし,不明,NG,ファンタジーランド
パン・ギャラクティック・ピザ・ポート,4.6,カウンター,なし,安い,OK,トゥモローランド
キャプテンフックス･ギャレー,4.6,カウンター,なし,安い,NG,ファンタジーランド
スキッパーズ・ギャレー,4.6,食べ歩き,なし,不明,NG,アドベンチャーランド
チャイナボイジャー,4.59,カウンター,なし,普通,OK,アドベンチャーランド
ラ・タベルヌ・ド・ガストン,4.52,カウンター,なし,安い,OK,ファンタジーランド
スウィートハート・カフェ,4.5,カウンター,なし,安い,NG,ワールドバザール
れすとらん北齋,4.49,テーブル,なし,普通,OK,ワールドバザール
ソフトランディング,4.47,食べ歩き,なし,不明,NG,トゥモローランド
クリスタルパレス・レストラン,4.47,ブッフェ,あり,高い,OK,アドベンチャーランド
ボイラールーム・バイツ,4.46,食べ歩き,なし,不明,NG,アドベンチャーランド
ザ・ダイヤモンドホースシュー・プレゼンツ “ミッキー＆カンパニー”,4.44,テーブル,あり,高い,OK,ウエスタンランド
ブルーバイユー・レストラン,4.43,テーブル,なし,高い,OK,アドベンチャーランド
アイスクリーム・コーン,4.42,食べ歩き,なし,安い,NG,ワールドバザール
ハングリーベア・レストラン,4.42,カウンター,なし,安い,OK,ウエスタンランド
カフェ・オーリンズ,4.42,カウンター,なし,安い,NG,アドベンチャーランド
ミッキーのトレーラー,4.4,食べ歩き,なし,不明,NG,トゥーンタウン
ホースシュー・ラウンドアップ,4.38,テーブル,あり,高い,OK,ウエスタンランド
ビッグポップ,4.35,カウンター,なし,安い,NG,トゥモローランド
イーストサイド・カフェ,4.35,テーブル,なし,普通,OK,ワールドバザール
ミッキーのレインボー・ルアウ,4.33,テーブル,あり,高い,OK,アドベンチャーランド
グランマ・サラのキッチン,4.32,カウンター,なし,普通,OK,クリッターカントリー
グレートアメリカン・ワッフルカンパニー,4.29,カウンター,なし,安い,NG,ワールドバザール
プラズマ・レイズ・ダイナー,4.25,カウンター,なし,安い,OK,トゥモローランド
プラザパビリオン・レストラン,4.22,カウンター,なし,普通,OK,ウエスタンランド
ヒューイ・デューイ・ルーイのグッドタイム・カフェ,4.2,カウンター,なし,安い,OK,トゥーンタウン
パークサイドワゴン,4.18,食べ歩き,なし,不明,NG,アドベンチャーランド
キャンプ・ウッドチャック・キッチン,4.16,カウンター,なし,安い,OK,キャンプ・ウッドチャック
ザ・ガゼーボ,4.14,食べ歩き,なし,不明,NG,アドベンチャーランド
ラケッティのラクーンサルーン,4.12,食べ歩き,なし,不明,NG,クリッターカントリー
センターストリート・コーヒーハウス,4.11,テーブル,なし,普通,OK,ワールドバザール
トゥモローランド・テラス,4.03,カウンター,なし,安い,OK,トゥモローランド
トルバドールタバン,4,食べ歩き,なし,不明,NG,ファンタジーランド
スクウィーザーズ・トロピカル・ジュースバー,4,食べ歩き,なし,不明,NG,アドベンチャーランド
クイーン・オブ・ハートのバンケットホール,3.96,カウンター,なし,普通,OK,ファンタジーランド
ペコスビル・カフェ,3.88,食べ歩き,なし,不明,NG,ウエスタンランド
フレッシュフルーツオアシス,3.88,食べ歩き,なし,不明,NG,アドベンチャーランド
リフレッシュメント・コーナー,3.86,カウンター,なし,安い,NG,ワールドバザール
ル・フウズ,3.73,カウンター,なし,安い,NG,ファンタジーランド
ポリネシアンテラス・レストラン,3.63,テーブル,なし,高い,OK,アドベンチャーランド
クレオズ,3.33,食べ歩き,なし,不明,NG,ファンタジーランド
マジカルマーケット,3.2,食べ歩き,なし,安い,NG,ファンタジーランド
ロイヤルストリート・ベランダ,3.2,食べ歩き,なし,不明,NG,アドベンチャーランド